CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
101	10180	Abilene, TX Metro Area	1	7105669751	36754978	2743.515	14.191	32.452022	-99.718743                                                                                                             
220	10300	Adrian, MI Micro Area	2	1941553493	30470229	749.638	11.765	41.896022	-84.074356                                                                                                               
364	10380	Aguadilla, PR Metro Area	1	769383273	354396433	297.061	136.833	18.391555	-67.097202                                                                                                           
184	10420	Akron, OH Metro Area	1	2331531037	62112093	900.209	23.982	41.146639	-81.35011                                                                                                                 
440	10540	Albany, OR Metro Area	1	5929797337	50130717	2289.508	19.356	44.488898	-122.537208                                                                                                             
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282540297	172028055	2811.805	66.42	42.78792	-73.942348                                                                                              
172	10620	Albemarle, NC Micro Area	2	1023253139	25183933	395.08	9.724	35.310449	-80.254374                                                                                                              
290	10700	Albertville, AL Micro Area	2	1465553967	148475491	565.854	57.327	34.309564	-86.321668                                                                                                         
105	10740	Albuquerque, NM Metro Area	1	24043814897	31882183	9283.369	12.31	35.123496	-106.458392                                                                                                        
194	10760	Alexander City, AL Micro Area	2	1855807728	128781251	716.531	49.723	32.863308	-85.799618                                                                                                      
204	10860	Alice, TX Micro Area	2	4684072388	9464999	1808.531	3.654	27.359741	-98.157214                                                                                                                 
106	10900	Allentown-Bethlehem-Easton, PA-NJ Metro Area	1	3763301127	58254848	1453.019	22.492	40.789339	-75.398158                                                                                       
394	10940	Alma, MI Micro Area	2	1472105381	8362680	568.383	3.229	43.292326	-84.60469                                                                                                                    
107	11020	Altoona, PA Metro Area	1	1359916301	3294803	525.067	1.272	40.498683	-78.309597                                                                                                                
108	11100	Amarillo, TX Metro Area	1	13340987772	84935408	5150.984	32.794	35.247999	-101.90867                                                                                                           
218	11180	Ames, IA Metro Area	1	2960369524	11071777	1143.005	4.275	42.036128	-93.698008                                                                                                                 
521	11200	Amherst Town-Northampton, MA Metro Area	1	1365533874	46625894	527.236	18.002	42.339459	-72.663694                                                                                             
104	11220	Amsterdam, NY Micro Area	2	1044052636	18613523	403.111	7.187	42.900891	-74.435357                                                                                                             
450	11360	Anderson Creek, NC Micro Area	2	1541299797	16361612	595.099	6.317	35.36866	-78.871665                                                                                                         
372	11380	Andrews, TX Micro Area	2	3886758050	1049250	1500.686	0.405	32.312258	-102.640206                                                                                                              
258	11420	Angola, IN Micro Area	2	799742710	35441270	308.782	13.684	41.643467	-85.002405                                                                                                                
220	11460	Ann Arbor, MI Metro Area	1	1828539923	42523115	706.003	16.418	42.252217	-83.843423                                                                                                            
118	11540	Appleton, WI Metro Area	1	2475529658	222422502	955.807	85.878	44.290603	-88.372326                                                                                                            
412	11580	Arcadia, FL Micro Area	2	1649031786	6243548	636.695	2.411	27.190581	-81.806253                                                                                                                
490	11640	Arecibo, PR Metro Area	1	613528952	231467259	236.885	89.37	18.439224	-66.759981                                                                                                               
556	11680	Arkansas City-Winfield, KS Micro Area	2	2915648172	17322934	1125.738	6.688	37.234507	-96.837247                                                                                               
120	11700	Asheville, NC Metro Area	1	3830729933	19336007	1479.053	7.466	35.61634	-82.570683                                                                                                             
360	11740	Ashland, OH Micro Area	2	1095528191	9969109	422.986	3.849	40.843273	-82.270127                                                                                                                
312	11860	Atchison, KS Micro Area	2	1116736556	6851102	431.174	2.645	39.532544	-95.313397                                                                                                               
198	11900	Athens, OH Micro Area	2	1304429460	12364206	503.643	4.774	39.332755	-82.045885                                                                                                                
174	11940	Athens, TN Micro Area	2	1619394994	61078967	625.252	23.583	35.451963	-84.682714                                                                                                               
206	11980	Athens, TX Micro Area	2	2263061904	193353703	873.773	74.654	32.211633	-95.853418                                                                                                              
122	12020	Athens-Clarke County, GA Metro Area	1	2654827239	26179161	1025.035	10.108	33.943984	-83.213897                                                                                                
122	12060	Atlanta-Sandy Springs-Roswell, GA Metro Area	1	22754281350	384413339	8785.478	148.423	33.732402	-84.392848                                                                                    
428	12100	Atlantic City-Hammonton, NJ Metro Area	1	2090376442	1256255921	807.099	485.043	39.286186	-74.738311                                                                                           
258	12140	Auburn, IN Micro Area	2	939735804	2657419	362.834	1.026	41.39676	-85.002697                                                                                                                   
532	12180	Auburn, NY Micro Area	2	1791207571	445691131	691.589	172.082	43.008546	-76.574587                                                                                                             
194	12220	Auburn-Opelika, AL Metro Area	1	3149998017	33246652	1216.221	12.837	32.492206	-85.527127                                                                                                      
462	12380	Austin, MN Micro Area	2	1842188271	617123	711.273	0.238	43.666249	-92.759514                                                                                                                  
533	12460	Bainbridge, GA Micro Area	2	1546842847	67154652	597.239	25.929	30.880643	-84.58389                                                                                                            
548	12580	Baltimore-Columbia-Towson, MD Metro Area	1	6737776066	1304182821	2601.47	503.548	39.304361	-76.549501                                                                                         
357	12660	Baraboo, WI Micro Area	2	2153800051	45578927	831.587	17.598	43.428001	-89.943318                                                                                                              
148	12700	Barnstable Town, MA Metro Area	1	1020973583	2360362409	394.2	911.341	41.706123	-70.164823                                                                                                     
162	12740	Barre, VT Micro Area	2	1779477067	21517931	687.06	8.308	44.274969	-72.609444                                                                                                                  
538	12780	Bartlesville, OK Micro Area	2	1076201521	22871165	415.524	8.831	36.704403	-95.906253                                                                                                          
464	12860	Batavia, NY Micro Area	2	1276803036	6136678	492.976	2.369	43.00091	-78.192778                                                                                                                 
132	12940	Baton Rouge, LA Metro Area	1	11312576960	530858010	4367.811	204.965	30.515242	-91.126926                                                                                                      
310	12980	Battle Creek, MI Metro Area	1	1829201515	31257733	706.259	12.069	42.24299	-85.012385                                                                                                          
474	13020	Bay City, MI Metro Area	1	1145834942	487713372	442.409	188.307	43.699711	-83.978701                                                                                                           
288	13060	Bay City, TX Micro Area	2	2831173989	1345214023	1093.122	519.39	28.77476	-96.001532                                                                                                           
339	13100	Beatrice, NE Micro Area	2	2205292876	21993057	851.468	8.492	40.255234	-96.683453                                                                                                              
376	13180	Beaver Dam, WI Micro Area	2	2268049933	81331198	875.699	31.402	43.429628	-88.701939                                                                                                           
144	13260	Bedford, IN Micro Area	2	1163282516	7207557	449.146	2.783	38.839815	-86.48782                                                                                                                 
198	13340	Bellefontaine, OH Micro Area	2	1187522540	21594566	458.505	8.338	40.387553	-83.766343                                                                                                         
266	13660	Big Rapids, MI Micro Area	2	1437843579	41665709	555.155	16.087	43.635295	-85.332751                                                                                                           
142	13820	Birmingham, AL Metro Area	1	13674749062	232896355	5279.85	89.922	33.462372	-86.814338                                                                                                         
292	13940	Blackfoot, ID Micro Area	2	5422741966	68632371	2093.732	26.499	43.216357	-112.399206                                                                                                          
145	14010	Bloomington, IL Metro Area	1	3064597289	7804856	1183.248	3.013	40.494559	-88.844539                                                                                                           
144	14020	Bloomington, IN Metro Area	1	2019718827	50076704	779.818	19.335	39.241736	-86.671754                                                                                                          
146	14100	Bloomsburg-Berwick, PA Micro Area	2	1251636166	18574480	483.259	7.172	41.045517	-76.40426                                                                                                     
406	14220	Bogalusa, LA Micro Area	2	1734352071	16140411	669.637	6.232	30.852144	-90.046253                                                                                                              
147	14260	Boise City, ID Metro Area	1	30475383742	170955996	11766.612	66.006	43.006648	-116.141909                                                                                                      
206	14300	Bonham, TX Micro Area	2	2273850338	54247784	877.939	20.945	33.591161	-96.104988                                                                                                               
108	14420	Borger, TX Micro Area	2	2298418616	19497034	887.424	7.528	35.837047	-101.362746                                                                                                               
148	14460	Boston-Cambridge-Newton, MA-NH Metro Area	1	9029076015	2654724140	3486.146	1024.995	42.517606	-71.021993                                                                                      
216	14500	Boulder, CO Metro Area	1	1881388403	36422357	726.408	14.063	40.094971	-105.39771                                                                                                              
150	14540	Bowling Green, KY Metro Area	1	4181201705	63545751	1614.371	24.535	37.046804	-86.397398                                                                                                       
313	14710	Brattleboro, VT Micro Area	2	2035623279	32917049	785.959	12.709	42.995304	-72.721877                                                                                                          
500	14740	Bremerton-Silverdale-Port Orchard, WA Metro Area	1	1023333489	442162371	395.111	170.72	47.639687	-122.649636                                                                                  
288	14780	Brenham, TX Micro Area	2	1564856214	45470591	604.194	17.556	30.215075	-96.410272                                                                                                              
120	14820	Brevard, NC Micro Area	2	979943598	5091023	378.358	1.966	35.210103	-82.816666                                                                                                                 
408	14860	Bridgeport-Stamford-Danbury, CT Metro Area	1	1741275057	553944779	672.31	213.879	41.252442	-73.393266                                                                                         
482	14940	Brigham City, UT-ID Micro Area	2	18078776560	2459155033	6980.255	949.485	41.622623	-113.060252                                                                                                
298	15020	Brookhaven, MS Micro Area	2	1518269754	5291052	586.207	2.043	31.535216	-90.453566                                                                                                             
152	15060	Brookings, OR Micro Area	2	4217523678	934580665	1628.395	360.844	42.466439	-124.210929                                                                                                        
154	15180	Brownsville-Harlingen, TX Metro Area	1	2309546780	1004825707	891.721	387.965	26.102923	-97.478958                                                                                             
360	15340	Bucyrus, OH Micro Area	2	1040619655	2359514	401.786	0.911	40.848524	-82.924783                                                                                                                
160	15380	Buffalo-Cheektowaga, NY Metro Area	1	4053619567	2075648706	1565.111	801.412	43.044371	-78.777335                                                                                              
161	15460	Burlington, IA-IL Micro Area	2	2058838021	77907870	794.922	30.08	40.863823	-91.069976                                                                                                         
268	15500	Burlington, NC Metro Area	1	1096763237	27913357	423.463	10.777	36.043954	-79.400573                                                                                                           
162	15540	Burlington-South Burlington, VT Metro Area	1	3236396822	656678039	1249.58	253.545	44.689115	-73.041175                                                                                        
122	15660	Calhoun, GA Micro Area	2	923219316	5732775	356.457	2.213	34.509667	-84.873862                                                                                                                 
548	15700	Cambridge, MD Micro Area	2	1400573750	1145353067	540.765	442.223	38.429196	-76.047433                                                                                                         
198	15740	Cambridge, OH Micro Area	2	1352599522	15666081	522.242	6.049	40.056665	-81.497875                                                                                                             
444	15860	Cañon City, CO Micro Area	2	3972613662	2235545	1533.835	0.863	38.45517	-105.424958                                                                                                            
427	15900	Canton, IL Micro Area	2	2242109841	43927320	865.683	16.96	40.46524	-90.202269                                                                                                                 
184	15940	Canton-Massillon, OH Metro Area	1	2511817976	24797772	969.818	9.574	40.711051	-81.261468                                                                                                      
163	15980	Cape Coral-Fort Myers, FL Metro Area	1	2023178327	1900208297	781.154	733.675	26.563273	-81.984182                                                                                             
164	16020	Cape Girardeau, MO-IL Metro Area	1	3708383561	73454289	1431.815	28.361	37.325936	-89.762639                                                                                                   
166	16060	Carbondale, IL Micro Area	2	1511439596	48312243	583.57	18.653	37.786096	-89.381212                                                                                                            
456	16180	Carson City, NV Metro Area	1	374341370	32594082	144.534	12.585	39.15306	-119.747368                                                                                                           
168	16300	Cedar Rapids, IA Metro Area	1	5202595814	29469265	2008.734	11.378	42.086289	-91.631095                                                                                                        
122	16340	Cedartown, GA Micro Area	2	803776466	4663881	310.34	1.801	33.996015	-85.188338                                                                                                                
338	16380	Celina, OH Micro Area	2	1197732211	28431995	462.447	10.978	40.535333	-84.632059                                                                                                               
476	16460	Centralia, IL Micro Area	2	1482865614	9234118	572.538	3.565	38.648236	-88.920362                                                                                                              
500	16500	Centralia, WA Micro Area	2	6223175360	86929743	2402.782	33.564	46.580071	-122.377444                                                                                                          
548	16540	Chambersburg, PA Metro Area	1	2000193445	1553435	772.279	0.6	39.926772	-77.724521                                                                                                             
169	16580	Champaign-Urbana, IL Metro Area	1	4975080231	8505259	1920.889	3.284	40.234489	-88.298623                                                                                                      
170	16620	Charleston, WV Metro Area	1	4522236616	33223490	1746.045	12.828	38.283213	-81.492557                                                                                                          
172	16740	Charlotte-Concord-Gastonia, NC-SC Metro Area	1	14496906383	302316879	5597.287	116.725	35.166342	-80.797285                                                                                    
174	16860	Chattanooga, TN-GA Metro Area	1	5420114304	126696262	2092.718	48.918	35.049361	-85.361158                                                                                                     
176	16980	Chicago-Naperville-Elgin, IL-IN Metro Area	1	17930837117	4924513563	6923.135	1901.365	41.75878	-87.841887                                                                                     
198	17060	Chillicothe, OH Micro Area	2	1784931094	9994410	689.166	3.859	39.323895	-83.059538                                                                                                            
178	17140	Cincinnati, OH-KY-IN Metro Area	1	11357579291	208768333	4385.186	80.606	39.078595	-84.463535                                                                                                  
242	17220	Clarksburg, WV Micro Area	2	2353015440	10796591	908.504	4.169	39.28835	-80.43153                                                                                                              
368	17260	Clarksdale, MS Micro Area	2	1432526490	77525442	553.102	29.933	34.230316	-90.60401                                                                                                            
184	17410	Cleveland, OH Metro Area	1	6996719385	6852759688	2701.449	2645.865	41.667548	-81.43052                                                                                                        
174	17420	Cleveland, TN Metro Area	1	1977111876	26866021	763.367	10.373	35.138117	-84.655079                                                                                                            
163	17500	Clewiston, FL Micro Area	2	5083554966	553873280	1962.772	213.852	26.739191	-81.184001                                                                                                         
209	17540	Clinton, IA Micro Area	2	1799934701	39410955	694.959	15.217	41.898073	-90.534243                                                                                                              
434	17620	Coamo, PR Micro Area	2	290242458	111134077	112.063	42.909	18.028709	-66.369763                                                                                                                
490	17640	Coco, PR Micro Area	2	179755401	115816412	69.404	44.717	17.971485	-66.262252                                                                                                                  
518	17660	Coeur d'Alene, ID Metro Area	1	3205836476	184444918	1237.78	71.215	47.675957	-116.695919                                                                                                      
190	17860	Columbia, MO Metro Area	1	4439493680	45562927	1714.098	17.592	38.986523	-92.585236                                                                                                            
192	17900	Columbia, SC Metro Area	1	9591051665	338419231	3703.126	130.664	34.077585	-81.037845                                                                                                          
194	17980	Columbus, GA-AL Metro Area	1	7215969395	82298693	2786.101	31.776	32.419377	-84.843709                                                                                                         
294	18020	Columbus, IN Metro Area	1	1053968865	6715105	406.94	2.593	39.205843	-85.897999                                                                                                                
523	18060	Columbus, MS Micro Area	2	3109617324	40960265	1200.63	15.815	33.251133	-88.506349                                                                                                             
198	18140	Columbus, OH Metro Area	1	12425326042	139143612	4797.445	53.724	39.968562	-82.835911                                                                                                          
148	18180	Concord, NH Micro Area	2	2416176927	57199007	932.891	22.085	43.299579	-71.680041                                                                                                              
458	18220	Connersville, IN Micro Area	2	556901575	366408	215.021	0.141	39.639654	-85.185034                                                                                                             
371	18340	Corbin, KY Micro Area	2	4473559301	52943961	1727.251	20.442	36.985916	-83.966066                                                                                                              
539	18420	Corinth, MS Micro Area	2	1036110409	3408033	400.044	1.316	34.886569	-88.581109                                                                                                                
122	18460	Cornelia, GA Micro Area	2	717081397	5672376	276.867	2.19	34.634392	-83.525875                                                                                                                 
236	18500	Corning, NY Micro Area	2	3601403378	35034921	1390.51	13.527	42.266725	-77.385525                                                                                                              
204	18580	Corpus Christi, TX Metro Area	1	4622291697	1597157316	1784.677	616.666	27.894817	-97.401668                                                                                                   
206	18620	Corsicana, TX Micro Area	2	2615116308	197615409	1009.702	76.3	32.048448	-96.476909                                                                                                            
296	18660	Cortland, NY Micro Area	2	1291817952	7110638	498.774	2.745	42.594039	-76.07624                                                                                                                
440	18700	Corvallis, OR Metro Area	1	1748781824	7670897	675.208	2.962	44.493882	-123.424664                                                                                                             
184	18740	Coshocton, OH Micro Area	2	1460521588	9127208	563.911	3.524	40.29671	-81.930109                                                                                                               
