CBSA_CODE,CBSA_NAME,LATITUDE,LONGITUDE
10180,"Abilene, TX Metro Area",32.452022,-99.718743                                                                                                             
10300,"Adrian, MI Micro Area",41.896022,-84.074356                                                                                                               
10380,"Aguadilla, PR Metro Area",18.391555,-67.097202                                                                                                           
10420,"Akron, OH Metro Area",41.146639,-81.35011                                                                                                                 
10540,"Albany, OR Metro Area",44.488898,-122.537208                                                                                                             
10580,"Albany-Schenectady-Troy, NY Metro Area",42.78792,-73.942348                                                                                              
10620,"Albemarle, NC Micro Area",35.310449,-80.254374                                                                                                              
10700,"Albertville, AL Micro Area",34.309564,-86.321668                                                                                                         
10740,"Albuquerque, NM Metro Area",35.123496,-106.458392                                                                                                        
10760,"Alexander City, AL Micro Area",32.863308,-85.799618                                                                                                      
10860,"Alice, TX Micro Area",27.359741,-98.157214                                                                                                                 
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",40.789339,-75.398158                                                                                       
10940,"Alma, MI Micro Area",43.292326,-84.60469                                                                                                                    
11020,"Altoona, PA Metro Area",40.498683,-78.309597                                                                                                                
11100,"Amarillo, TX Metro Area",35.247999,-101.90867                                                                                                           
11180,"Ames, IA Metro Area",42.036128,-93.698008                                                                                                                 
11200,"Amherst Town-Northampton, MA Metro Area",42.339459,-72.663694                                                                                             
11220,"Amsterdam, NY Micro Area",42.900891,-74.435357                                                                                                             
11360,"Anderson Creek, NC Micro Area",35.36866,-78.871665                                                                                                         
11380,"Andrews, TX Micro Area",32.312258,-102.640206                                                                                                              
11420,"Angola, IN Micro Area",41.643467,-85.002405                                                                                                                
11460,"Ann Arbor, MI Metro Area",42.252217,-83.843423                                                                                                            
11540,"Appleton, WI Metro Area",44.290603,-88.372326                                                                                                            
11580,"Arcadia, FL Micro Area",27.190581,-81.806253                                                                                                                
11640,"Arecibo, PR Metro Area",18.439224,-66.759981                                                                                                               
11680,"Arkansas City-Winfield, KS Micro Area",37.234507,-96.837247                                                                                               
11700,"Asheville, NC Metro Area",35.61634,-82.570683                                                                                                             
11740,"Ashland, OH Micro Area",40.843273,-82.270127                                                                                                                
11860,"Atchison, KS Micro Area",39.532544,-95.313397                                                                                                               
11900,"Athens, OH Micro Area",39.332755,-82.045885                                                                                                                
11940,"Athens, TN Micro Area",35.451963,-84.682714                                                                                                               
11980,"Athens, TX Micro Area",32.211633,-95.853418                                                                                                              
12020,"Athens-Clarke County, GA Metro Area",33.943984,-83.213897                                                                                                
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",33.732402,-84.392848                                                                                    
12100,"Atlantic City-Hammonton, NJ Metro Area",39.286186,-74.738311                                                                                           
12140,"Auburn, IN Micro Area",41.39676,-85.002697                                                                                                                   
12180,"Auburn, NY Micro Area",43.008546,-76.574587                                                                                                             
12220,"Auburn-Opelika, AL Metro Area",32.492206,-85.527127                                                                                                      
12380,"Austin, MN Micro Area",43.666249,-92.759514                                                                                                                  
12460,"Bainbridge, GA Micro Area",30.880643,-84.58389                                                                                                            
12580,"Baltimore-Columbia-Towson, MD Metro Area",39.304361,-76.549501                                                                                         
12660,"Baraboo, WI Micro Area",43.428001,-89.943318                                                                                                              
12700,"Barnstable Town, MA Metro Area",41.706123,-70.164823                                                                                                     
12740,"Barre, VT Micro Area",44.274969,-72.609444                                                                                                                  
12780,"Bartlesville, OK Micro Area",36.704403,-95.906253                                                                                                          
12860,"Batavia, NY Micro Area",43.00091,-78.192778                                                                                                                 
12940,"Baton Rouge, LA Metro Area",30.515242,-91.126926                                                                                                      
12980,"Battle Creek, MI Metro Area",42.24299,-85.012385                                                                                                          
13020,"Bay City, MI Metro Area",43.699711,-83.978701                                                                                                           
13060,"Bay City, TX Micro Area",28.77476,-96.001532                                                                                                           
13100,"Beatrice, NE Micro Area",40.255234,-96.683453                                                                                                              
13180,"Beaver Dam, WI Micro Area",43.429628,-88.701939                                                                                                           
13260,"Bedford, IN Micro Area",38.839815,-86.48782                                                                                                                 
13340,"Bellefontaine, OH Micro Area",40.387553,-83.766343                                                                                                         
13660,"Big Rapids, MI Micro Area",43.635295,-85.332751                                                                                                           
13820,"Birmingham, AL Metro Area",33.462372,-86.814338                                                                                                         
13940,"Blackfoot, ID Micro Area",43.216357,-112.399206                                                                                                          
14010,"Bloomington, IL Metro Area",40.494559,-88.844539                                                                                                           
14020,"Bloomington, IN Metro Area",39.241736,-86.671754                                                                                                          
14100,"Bloomsburg-Berwick, PA Micro Area",41.045517,-76.40426                                                                                                     
14220,"Bogalusa, LA Micro Area",30.852144,-90.046253                                                                                                              
14260,"Boise City, ID Metro Area",43.006648,-116.141909                                                                                                      
14300,"Bonham, TX Micro Area",33.591161,-96.104988                                                                                                               
14420,"Borger, TX Micro Area",35.837047,-101.362746                                                                                                               
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",42.517606,-71.021993                                                                                      
14500,"Boulder, CO Metro Area",40.094971,-105.39771                                                                                                              
14540,"Bowling Green, KY Metro Area",37.046804,-86.397398                                                                                                       
14710,"Brattleboro, VT Micro Area",42.995304,-72.721877                                                                                                          
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",47.639687,-122.649636                                                                                  
14780,"Brenham, TX Micro Area",30.215075,-96.410272                                                                                                              
14820,"Brevard, NC Micro Area",35.210103,-82.816666                                                                                                                 
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",41.252442,-73.393266                                                                                         
14940,"Brigham City, UT-ID Micro Area",41.622623,-113.060252                                                                                                
15020,"Brookhaven, MS Micro Area",31.535216,-90.453566                                                                                                             
15060,"Brookings, OR Micro Area",42.466439,-124.210929                                                                                                        
15180,"Brownsville-Harlingen, TX Metro Area",26.102923,-97.478958                                                                                             
15340,"Bucyrus, OH Micro Area",40.848524,-82.924783                                                                                                                
15380,"Buffalo-Cheektowaga, NY Metro Area",43.044371,-78.777335                                                                                              
15460,"Burlington, IA-IL Micro Area",40.863823,-91.069976                                                                                                         
15500,"Burlington, NC Metro Area",36.043954,-79.400573                                                                                                           
15540,"Burlington-South Burlington, VT Metro Area",44.689115,-73.041175                                                                                        
15660,"Calhoun, GA Micro Area",34.509667,-84.873862                                                                                                                 
15700,"Cambridge, MD Micro Area",38.429196,-76.047433                                                                                                         
15740,"Cambridge, OH Micro Area",40.056665,-81.497875                                                                                                             
15860,"Cañon City, CO Micro Area",38.45517,-105.424958                                                                                                            
15900,"Canton, IL Micro Area",40.46524,-90.202269                                                                                                                 
15940,"Canton-Massillon, OH Metro Area",40.711051,-81.261468                                                                                                      
15980,"Cape Coral-Fort Myers, FL Metro Area",26.563273,-81.984182                                                                                             
16020,"Cape Girardeau, MO-IL Metro Area",37.325936,-89.762639                                                                                                   
16060,"Carbondale, IL Micro Area",37.786096,-89.381212                                                                                                            
16180,"Carson City, NV Metro Area",39.15306,-119.747368                                                                                                           
16300,"Cedar Rapids, IA Metro Area",42.086289,-91.631095                                                                                                        
16340,"Cedartown, GA Micro Area",33.996015,-85.188338                                                                                                                
16380,"Celina, OH Micro Area",40.535333,-84.632059                                                                                                               
16460,"Centralia, IL Micro Area",38.648236,-88.920362                                                                                                              
16500,"Centralia, WA Micro Area",46.580071,-122.377444                                                                                                          
16540,"Chambersburg, PA Metro Area",39.926772,-77.724521                                                                                                             
16580,"Champaign-Urbana, IL Metro Area",40.234489,-88.298623                                                                                                      
16620,"Charleston, WV Metro Area",38.283213,-81.492557                                                                                                          
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.166342,-80.797285                                                                                    
16860,"Chattanooga, TN-GA Metro Area",35.049361,-85.361158                                                                                                     
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",41.75878,-87.841887                                                                                     
17060,"Chillicothe, OH Micro Area",39.323895,-83.059538                                                                                                            
17140,"Cincinnati, OH-KY-IN Metro Area",39.078595,-84.463535                                                                                                  
17220,"Clarksburg, WV Micro Area",39.28835,-80.43153                                                                                                              
17260,"Clarksdale, MS Micro Area",34.230316,-90.60401                                                                                                            
17410,"Cleveland, OH Metro Area",41.667548,-81.43052                                                                                                        
17420,"Cleveland, TN Metro Area",35.138117,-84.655079                                                                                                            
17500,"Clewiston, FL Micro Area",26.739191,-81.184001                                                                                                         
17540,"Clinton, IA Micro Area",41.898073,-90.534243                                                                                                              
17620,"Coamo, PR Micro Area",18.028709,-66.369763                                                                                                                
17640,"Coco, PR Micro Area",17.971485,-66.262252                                                                                                                  
17660,"Coeur d'Alene, ID Metro Area",47.675957,-116.695919                                                                                                      
17860,"Columbia, MO Metro Area",38.986523,-92.585236                                                                                                            
17900,"Columbia, SC Metro Area",34.077585,-81.037845                                                                                                          
17980,"Columbus, GA-AL Metro Area",32.419377,-84.843709                                                                                                         
18020,"Columbus, IN Metro Area",39.205843,-85.897999                                                                                                                
18060,"Columbus, MS Micro Area",33.251133,-88.506349                                                                                                             
